,I,B,B_int,T,V1,V2,V3,V4,V5,V6,V7,V8,Rel_value,multiplier,R1,R2,R3,R4,R5,R6,R7,R8,Ra,Rb,R,MR
32,0.001,-10000.3823730469,-10000,125.0004993439,5226.684436873,-5226.638664407,4636.4989963,-4636.479199544,5225.940734109,-5226.023959639,4635.896391862,-4635.79078301,-1.7708e-06,1000000,5.226684436873,-5.226638664407,4.636498996299999,-4.6364791995440005,5.225940734109,-5.226023959639,4.635896391862,-4.63579078301,5.226321948757,4.636166342679,4.931244145718,-0.6308787364170064
33,0.001,-10000.3848144531,-10000,125.0001865387,5226.708882675,-5226.601026364,4636.501822209,-4636.491083063,5225.961592174,-5225.990109988,4635.900619134,-4635.703845729,-1.7677e-06,1000000,5.226708882674999,-5.226601026364,4.636501822209,-4.6364910830629995,5.2259615921739995,-5.2259901099879995,4.635900619134,-4.635703845729,5.22631540280025,4.63614934253375,4.931232372667,-0.631115974261631
34,0.001,-9000.4240722656,-9000,125.0003002167,5229.303047853,-5229.280201075,4639.738735355,-4639.671606199,5228.610725361,-5228.632068116,4639.192291829,-4638.993013869,-1.7689e-06,1000000,5.229303047853,-5.229280201075,4.639738735355,-4.639671606199,5.2286107253609995,-5.228632068115999,4.6391922918290005,-4.638993013868999,5.228956510601249,4.639398911813,4.934177711207125,-0.5717646840177375
35,0.001,-8000.4990234375,-8000,125.0002559662,5232.048207819,-5231.966471271,4643.03270503,-4643.008773036,5231.312418772,-5231.321327601,4642.447096699,-4642.284617049,-1.7712e-06,1000000,5.232048207819,-5.231966471271,4.64303270503,-4.643008773036,5.231312418771999,-5.231321327601,4.642447096699001,-4.642284617049,5.23166210636575,4.6426932979535,4.937177702159625,-0.5113120972182296
36,0.001,-7000.2211181641,-7000,125.0003128052,5234.807315964,-5234.689497844,4646.308978008,-4646.282685054,5234.035897504,-5234.042833687,4645.741459682,-4645.583917004,-1.7752e-06,1000000,5.234807315964,-5.234689497843999,4.646308978008,-4.6462826850539996,5.234035897504,-5.234042833687,4.645741459682,-4.645583917004,5.234393886249749,4.6459792599370004,4.940186573093374,-0.45068057059997335
37,0.001,-6000.4345947266,-6000,125.0004165649,5237.55385358,-5237.451590949,4649.597218261,-4649.58616197,5236.792954543,-5236.848615774,4649.032797432,-4648.918829807,-1.7863e-06,1000000,5.23755385358,-5.237451590949,4.649597218261,-4.64958616197,5.236792954543,-5.236848615774,4.649032797432,-4.648918829807,5.2371617537115,4.6492837518675,4.9432227527895005,-0.38949874721279076
38,0.001,-5000.3151123047,-5000,125.0002319336,5240.347491685,-5240.308028418,4653.076196463,-4652.971711934,5239.597971811,-5239.629138965,4652.472258573,-4652.292853965,-1.7789e-06,1000000,5.240347491685,-5.240308028417999,4.653076196463,-4.652971711934001,5.239597971811,-5.239629138964999,4.652472258573,-4.652292853965,5.23997065771975,4.65270325523375,4.946336956476751,-0.326744668385325
39,0.001,-5000.3102294922,-5000,125.0004878998,5240.351797706,-5240.298277377,4653.057711951,-4652.992174165,5239.611729715,-5239.670952326,4652.472762611,-4652.322799014,-1.7689e-06,1000000,5.240351797706,-5.240298277377,4.653057711951,-4.652992174165,5.239611729715,-5.239670952326,4.652472762611,-4.652322799014001,5.239983189281,4.65271136193525,4.946347275608125,-0.3265367283631795
40,0.001,-4500.2899414063,-4500,125.0002677917,5241.771513074,-5241.778930223,4654.734101862,-4654.703738784,5241.050855344,-5241.043062354,4654.196015128,-4654.026883581,-1.7673e-06,1000000,5.241771513074,-5.241778930223,4.654734101862,-4.654703738784,5.2410508553440005,-5.241043062354,4.654196015128,-4.654026883581,5.24141109024875,4.65441518483875,4.94791313754375,-0.29498316500974114
41,0.001,-4000.2821899414,-4000,125.0003601074,5243.224441787,-5243.166179015,4656.538619723,-4656.448002028,5242.45159168,-5242.435295234,4655.909611776,-4655.748397764,-1.7745e-06,1000000,5.2432244417869995,-5.243166179015,4.656538619723,-4.656448002028,5.24245159168,-5.242435295233999,4.655909611776,-4.655748397764,5.242819376929,4.65616115782275,4.949490267375875,-0.2632025431411393
