T,T_actual,H,I,V1,V2,V3,V4,V5,V6,V7,V8
247,246.9668503,-0.022858699,0.001,53.64873077,-52.99615356,27.8080412,-23.55726024,121.9044441,-44.0054811,24.4849152,-25.3003936
246,245.9666428,-0.05388122,0.001,53.39395086,-52.73118667,27.75706866,-23.68977676,118.4183016,-44.3622326,24.413596,-25.22903491
245,244.9663536,-0.041635488,0.001,52.95557471,-52.55788946,27.67555799,-23.41454731,119.9269258,-43.5875776,24.0262499,-25.51447257
244,243.9668205,-0.026940609,0.001,52.67018305,-52.35403989,27.49201662,-23.6795694,112.6079426,-44.617115,23.84277497,-25.17806358
243,242.9660172,-0.03102252,0.001,53.19003067,-52.37440637,26.28919336,-23.67959409,99.14238562,-46.1971035,24.02622925,-24.77030515
242,241.9660309,-0.039186341,0.001,52.83323453,-52.18072289,25.64701507,-23.54708248,87.7052256,-47.6140652,24.19954299,-24.43393564
241,240.9661354,-0.022858699,0.001,52.7211145,-52.12977404,25.12716596,-23.68978147,80.131526,-48.6129569,24.14856251,-24.06696453
240,239.9662697,-0.045717398,0.001,52.70077344,-52.06857513,24.8927078,-23.62863271,74.046002,-48.8678479,24.26072313,-23.89367128
239,238.9666977,-0.089802033,0.001,52.6294563,-51.8953206,24.57671711,-23.5063126,69.2856411,-49.4590663,24.046645,-23.68978537
238,237.9663521,-0.064494188,0.001,52.43575731,-51.79339663,24.40340756,-23.43496362,65.7994441,-49.6833481,24.18935301,-23.65920184
237,236.9653152,-0.083270976,0.001,52.35415982,-51.63026955,24.10781619,-23.48593103,62.8433342,-49.96872722,23.9039224,-23.5776587
236,235.9654251,-0.068576098,0.001,52.11974346,-51.53856209,23.88355639,-23.47573156,60.6313509,-50.15225325,23.92428407,-23.36359826
235,234.9652214,-0.049799309,0.001,51.99741831,-51.30409625,23.80199929,-23.43496772,59.0105858,-49.93819801,24.08739752,-23.29225613
234,233.9656693,-0.076739918,0.001,52.11974093,-51.20214221,23.75101322,-23.3942017,57.3999575,-49.95858759,24.15876163,-23.14952687
233,232.9655876,-0.060412277,0.001,51.7935525,-51.12060679,23.6286995,-23.22089753,56.1971863,-49.87694348,23.78159398,-23.04760815
232,231.9652542,-0.078372683,0.001,51.61006624,-50.93713146,23.54715573,-23.24127389,55.02491415,-49.99932905,23.91409923,-23.02719347
231,230.9655304,-0.035920813,0.001,51.39601672,-50.67209624,23.44520222,-23.31262904,54.00549189,-49.78523413,23.68987096,-22.96604965
230,229.9659119,-0.048982926,0.001,51.23287353,-50.37650538,23.5471558,-23.33302122,53.30217635,-49.2552202,24.10778512,-22.93548002
229,228.965226,-0.025307845,0.001,51.04936552,-50.20311552,23.47579017,-23.28203281,52.15026893,-49.01052169,23.89370809,-22.82332868
228,227.9658554,0.007347439,0.001,50.79460854,-50.00954943,23.22094769,-23.32283018,51.74254236,-48.99014218,23.975281,-22.5685111
